Celltype_1	Celltype_2	Mean_AUROC	Match_type	Avgscore	hierarchy	Celltype_1_group	Celltype_2_group
Fish|Erythroid	Mouse|pDC	NS	NS	0	fm	Fish	Mouse
Fish|Erythroid	Mouse|Basophil	NS	NS	0	fm	Fish	Mouse
Fish|Erythroid	Mouse|T cells	NS	NS	0	fm	Fish	Mouse
Fish|Erythroid	Mouse|NK cells	NS	NS	0	fm	Fish	Mouse
Fish|Erythroid	Mouse|B cells	NS	NS	0	fm	Fish	Mouse
Fish|Erythroid	Mouse|Plasma cells	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Progenitors	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Granulocytopoietic cells	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Erythroids	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Neutrophils	0.92	Reciprocal_top_hit	0.96	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Monocytes	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Macrophage	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|DC	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|pDC	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Basophil	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|T cells	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|NK cells	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|B cells	NS	NS	0	fm	Fish	Mouse
Fish|Neutrophil	Mouse|Plasma cells	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|Progenitors	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|Granulocytopoietic cells	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|Erythroids	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|Neutrophils	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|Monocytes	0.95	Reciprocal_top_hit	0.961857567069751	fm	Fish	Mouse
Fish|Macrophage	Mouse|Macrophage	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|DC	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|pDC	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|Basophil	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|T cells	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|NK cells	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|B cells	NS	NS	0	fm	Fish	Mouse
Fish|Macrophage	Mouse|Plasma cells	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Progenitors	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Granulocytopoietic cells	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Erythroids	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Neutrophils	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Monocytes	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Macrophage	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|DC	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|pDC	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Basophil	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|T cells	0.97	Reciprocal_top_hit	0.985	fm	Fish	Mouse
Fish|NK/T cell	Mouse|NK cells	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|B cells	NS	NS	0	fm	Fish	Mouse
Fish|NK/T cell	Mouse|Plasma cells	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|Progenitors	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|Granulocytopoietic cells	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|Erythroids	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|Neutrophils	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|Monocytes	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|Macrophage	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|DC	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|pDC	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|Basophil	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|T cells	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|NK cells	NS	NS	0	fm	Fish	Mouse
Fish|B cell	Mouse|B cells	0.97	Reciprocal_top_hit	0.985	fm	Fish	Mouse
Fish|B cell	Mouse|Plasma cells	NS	NS	0	fm	Fish	Mouse
Mouse|Progenitors	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|Erythroids	0.93	Above_threshold:0.8	0.956021410698152	mh	Mouse	Human
Mouse|Progenitors	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|Progenitors	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Neutrophils	0.95	Above_threshold:0.8	0.954838569838111	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
