celltype	Fish|HSCs	Fish|Erythroid	Fish|Neutrophil	Fish|Macrophage	Fish|B cell	Fish|NK/T cell
Fly|PH 1	0.951619622643664	0.985137806183589	0.582386834067767	0.516483562884045	0.847754487854823	0.823730518308183
Fly|PH	0.685174337703609	0.810079200660848	0.264075972422647	0.436608456842217	0.560779635432587	0.556483283097022
Fly|PM	0.572205367812914	0.404532702929517	0.568471947431028	0.352657220627562	0.383268338890608	0.325974794679315
Fly|PM 120	0.167682179343437	0.112805044258355	0.704212173261016	0.776751941002947	0.370498400921236	0.429470093821075
Fly|LM	0.180691934802155	0.109744979349535	0.821878511175093	0.796477016213995	0.642339983386453	0.749776774740295
Fly|CC	0.3536691322182	0.496410214947193	0.589568678206252	0.793816364194841	0.630194387135144	0.894857411653406
Fly|GST-rich	0.216455525526945	0.263002019731453	0.244370213706796	0.63429460020029	0.675966928785588	0.693604636126304
Fly|Adipohemocyte	0.183281377066956	0.0675912445442113	0.757065273823554	0.813596412944575	0.736862458913656	0.711323891747674
