PH 1	PH	PM	PM 120	LM	CC	GST-rich	Adipohemocyte
spred2b				ap2s1			
sfpq				fundc1			
st13				gba2			
jarid2b				ank1b			
hnrnpm				sptlc1			
brd7				rabgap1l			
frmd6				gata5			
cpsf6				yap1			
smc2				reep5			
vapb				clta			
pih1d2				napga			
tesk2				scocb			
mki67				dagla			
atrx				dnm1l			
myo6b				atp6v1g1			
phf10				arl2			
pan3				ppp1cb			
src				actr2a			
etv7				itm2ba			
srsf7a				wbp2			
foxk1				atp6v0d1			
sptb				foxo1a			
ube2ia				arhgap1			
smek1				mtpn			
srsf4				srm			
cdk11b				tmx1			
xpo1b				pdlim7			
cdkn1ca				pfdn5			
fip1l1b				hip1			
scrib				kdsr			
sin3ab				ppp1r12a			
calml4a				tcp1			
caprin1a				pla2g6			
top1l				ap1s1			
vat1				klc1a			
smad7				atp6v1b2			
zmym4				arf6a			
sf3b2				fcho2			
evi5b				elof1			
cntn3a.1				acap3a			
zc3h18				rasa1a			
cecr2				ggps1			
srpk1a				myd88			
ppp1r9ba				rtn1b			
ctnnb1				cope			
rcor1				clstn2			
ccna1				lpcat3			
usp7				ykt6			
actl6b				brk1			
rbbp6				rapgef4			
hdac1				prkcea			
nup153				anos1b			
ncoa6				klhl5			
waca				mob4			
ddx6				cyfip2			
puf60a				pigv			
crsp7				flj11011l			
snrpd1				cyb5a			
polr2a				atp6v1f			
cnot6l				limk1a			
rhogb				arl6ip5a			
qser1				elmo1			
srrt				rraga			
srcap				actr1			
foxn4				fut10			
trip13				gosr1			
plk1				slc44a5b			
apex1				klhdc10			
pafah1b2				arf2a			
phrf1				map4k3a			
glyr1				atp10d			
ca16b				slc9a8			
srrm1				apc2			
ylpm1				stx8			
trrap				slc5a12			
cks2				usp46			
tmod1				nckap1			
uchl5				hook1			
ccnb1				kif3a			
chaf1a				atg13			
tpbgl				nrbp1			
kif23				ube2d3			
cdca4				golga4			
psmd1				synj1			
vrk1				ccdc28b			
helz				ric8a			
wtap				ralaa			
skib				pdss2			
srsf1a				vps26bl			
ttyh2l				cct8			
sf3b5				gpcpd1			
wdyhv1				timm44			
atp1a3a				ptrhd1			
tcf7l1a				etnk1			
snrpg				alg2			
kif11				mtmr2			
sae1				anxa5b			
cdk2				map3k12			
sephs1				tbcc			
pbx4				nisch			
snrnp70				nsfa			
gatad2ab				cnnm2b			
maml3				rce1a			
dusp7				dnajc3a			
hcfc1a				ube2g1a			
zbtb11				rnaseka			
csnk2b				cnppd1			
nusap1				bet1			
dcaf7				yipf6			
dnttip2				mycbp			
rbb4l				pdxdc1			
smarca2				atp6v1c1a			
ranbp1				rer1			
ythdc1				arrdc3a			
smarcb1a				ube2l3b			
gnpnat1				nhlrc2			
rgl1				atp2b3a			
actn3b				sar1b			
akap17a				atp6v1d			
mark3b				piezo1			
akap1b				pard6gb			
ddx39b				dym			
tcf12				gnpat			
racgap1				bag2			
rbm4.2				camk1b			
top3b				atp6v1e1b			
smn1				pmm2			
ube2c				vps25			
hif1ab				oard1			
ehmt1b				pkma			
ino80b				abcd3b			
rangap1a				rgs12a			
ppp6r2a				dnajb12a			
safb				ctnna2			
cenpe				pgm2			
rfc1				pggt1b			
fus				map2k4a			
smad3b				usp6nl			
kansl1a				psmc5			
ppm1g				aph1b			
wdr5				tpd52l2a			
btbd10a				gosr2			
slbp2				lamtor5			
prpf39				psmc6			
supt16h				atf6			
cdk1				tmed5			
nup98				btaf1			
abcf2a				vps29			
map3k10				arfip2b			
arl14ep				lmo4a			
uba1				pdcd5			
tprb				gcshb			
edc3				calr			
smc5				dnm1b			
nvl				tagapa			
syap1				hiat1b			
med31				psmd12			
gtf2a2				glud1b			
deaf1				canx			
tnpo2				tmed7			
taf3				usp14			
nr5a1b				cycsb			
arglu1a				eno1a			
cnot3a				sdf2l1			
u2af2b							
hnrnpub							
crtc3							
cdca8							
csnk1e							
mcm7							
cdk15							
sept7b							
smc1al							
larp1							
pde4d							
larp4aa							
rcc1							
tnrc6c1							
med22							
fam193a							
med21							
prpf40a							
srek1ip1							
znf318							
ppm1da							
svila							
unc119.1							
pogza							
tfdp1a							
gpia							
smarcc2							
dhx9							
rnf38							
ap1g1							
chd2							
tuba7l							
bmp7b							
mcm6							
dnajc9							
ubr3							
usp10							
snrpf							
epc1a							
camk2d2							
fam102bb							
sf3b6							
sf3a2							
atp13a3							
rbm27							
ube2r2							
bcl9							
paip1							
akt3b							
hipk3b							
tead3a							
kctd5a							
ggnbp2							
ptpn6							
rasa3							
pds5a							
huwe1							
u2af1							
mta2							
tcf25							
clip1a							
thoc2							
setd1ba							
magoh							
tbpl1							
nfat5a							
lrrc59							
sirt1							
znf207b							
nkrf							
ddx18							
tcea2							
mad2l1							
phf19							
gnas							
mvk							
ddx23							
bcas2							
ythdf1							
rnps1							
pnn							
csrnp2							
lypla2							
eif4e2rs1							
prkrip1							
dmap1							
mier1b							
papolg							
leng8							
smarcd1							
mcm4							
clns1a							
aldh4a1							
birc5b							
sart3							
ncbp2							
yy1a							
arih1l							
bicd1a							
ruvbl2							
ppp2r5cb							
fbxw11b							
cbx3a							
dhx15							
pigb							
aff2							
kcmf1							
arl6ip1							
usp36							
med19a							
ufd1l							
pofut1							
rsrc2							
ap3d1							
ndel1b							
