Barcode	tSNE1	tSNE2	tSNE3	celltype
bcHCMI:WT_3	12.0479136119367	-20.9732144452255	-3.22886321489973	Neutrophil
bcBMGT:WT_3	28.5123388623667	20.3359650040057	-7.77543255188425	Erythroid
bcBBPX:WT_3	25.7545768919555	-6.49198053389852	1.16932956467451	Macrophage
bcCVMM:WT_3	28.0698642528691	18.6223432581693	-8.5435776049661	Erythroid
bcDWBG:WT_3	26.4546173466993	13.3106523961762	-5.81940954385759	Erythroid
bcIBMN:WT_3	28.0019251009073	15.7267265587917	-7.4104359722019	Erythroid
bcFMIU:WT_3	11.8963341877991	-21.0440358600648	-3.17322508309346	Neutrophil
bcBOTZ:WT_3	27.0824279343701	8.06115987054489	-3.65103971157213	Erythroid
bcANWY:WT_3	29.0679882314781	20.4497665509365	-8.21910951303648	Erythroid
bcAKGJ:WT_3	14.9410935588536	-8.90767756951437	-11.4270714434528	Neutrophil
bcHLRY:WT_3	14.9653950932795	-8.78866242380922	-9.94956866298165	Neutrophil
bcDHYS:WT_3	26.8002858858298	-5.82897365396904	1.20429866330036	Macrophage
bcDBCF:WT_3	15.1902084086942	-9.00952276185278	-14.2754151480607	Neutrophil
bcGZWC:WT_3	14.8445457701813	-8.90092028816328	-12.4687852513875	Neutrophil
bcFQJE:WT_3	22.8434752709406	11.95895033513	4.17869160274723	Erythroid
bcEFQH:WT_3	26.792618865047	-6.81577835951543	0.782607994014668	Macrophage
bcBOAC:WT_3	27.3308833997448	14.3578343080557	-6.1920881036891	Erythroid
bcDWGX:WT_3	25.7976982130857	-5.74345077391879	1.31667231357593	Macrophage
bcBGEV:WT_3	8.19793919406061	-0.392965703811686	-1.28952632161879	NK/T cell
bcCEFG:WT_3	20.1937223672259	-3.63883574704832	-0.451394561932285	NK/T cell
bcDPBD:WT_3	26.8362431784483	11.6808230365323	-5.4294519519031	Erythroid
bcDPHU:WT_3	24.9980205934012	16.6086399977183	-7.28618189688915	Erythroid
bcBSKV:WT_3	21.1515846199863	-5.05596980399417	-0.523348801119399	Macrophage
bcHXSD:WT_3	27.5055455166702	18.1584627360845	-8.71759421763023	Erythroid
bcCHSI:WT_3	26.9151711426648	16.2602386461413	-7.0975068159734	Erythroid
bcGJBC:WT_3	11.8062394167628	3.32219956357568	-2.30302328984107	NK/T cell
bcAPXQ:WT_3	26.4997826031239	-5.57936867707131	2.0217128979284	Macrophage
bcCQST:WT_3	26.7695208583689	8.77123963351795	-3.46207412422136	Erythroid
bcCTXH:WT_3	26.1577209660312	13.8532742371199	-6.32547976336479	Erythroid
bcAXDX:WT_3	25.5576413010226	-6.77718173081775	0.732336715085387	Macrophage
bcCWTA:WT_3	13.9507764090064	-8.80814971617724	-14.9255749381786	Neutrophil
bcEAMM:WT_3	26.9513477338557	9.22144791569783	-4.110529877861	Erythroid
bcIHBQ:WT_3	11.534753090194	3.19450699388745	-2.3461999454996	NK/T cell
bcCPHE:WT_3	25.8844363190711	15.325447052845	-6.42987104563933	Erythroid
bcGWTU:WT_3	28.8780091731751	20.4395957745469	-7.89052002924567	Erythroid
bcBNUJ:WT_3	26.8092838496675	-4.37657583453955	1.13389519663457	Macrophage
bcCYGU:WT_3	24.8231892588029	14.7080609716185	-6.32671423640133	Erythroid
bcBGAZ:WT_3	26.8287418190769	11.3029390153121	-5.01590698628003	Erythroid
bcCAKM:WT_3	28.6688727955609	19.7696230470255	-7.7028562890088	Erythroid
bcBWCE:WT_3	24.0633269497903	15.9248871002689	-6.72027350206206	Erythroid
bcCUWT:WT_3	10.3341319704133	3.86923671529447	-3.24588501064514	NK/T cell
bcGSIU:WT_3	27.2749068686915	17.7188984891985	-7.98518232437485	Erythroid
bcBBQS:WT_3	18.1229231650653	-4.60435120356443	-10.0189423292076	Erythroid
bcEBMK:WT_3	26.9957730087918	8.81315830875512	-4.28029595762467	Erythroid
bcEMFF:WT_3	12.0563391914177	-20.8092208931995	-3.97806103155117	Neutrophil
bcAOBD:WT_3	27.4819631907287	16.3276962244874	-6.79000341003328	Erythroid
bcHWST:WT_3	29.1418018710632	20.4049648902601	-7.49968945890576	Erythroid
bcDVVC:WT_3	27.335135449945	18.178263970855	-8.73549655283512	Erythroid
