Barcode	tSNE1	tSNE2	tSNE3	celltype
bcEIQT:WT_3	0.385743817295613	-8.94874485793473	-27.4508993524499	Erythroid
bcGWVS:WT_3	0.588669397883303	-8.35695725344368	-27.4741988135855	Erythroid
bcDWGW:WT_3	-0.238745170932819	-9.20901076927266	-25.8461624645258	Erythroid
bcDWYE:WT_3	4.15884299807069	-20.7771429646568	9.71565173411846	Neutrophil
bcDHYK:WT_3	-1.8275516869467	-8.84898018801789	-26.8522292948138	Erythroid
bcHNUJ:WT_3	-1.41324962740255	-9.15050174548407	-26.4693802332891	NK/T cell
bcBHWX:WT_3	-1.05486734777031	-12.5691045420047	-8.67330409723065	NK/T cell
bcCARV:WT_3	-0.228378809451961	-8.96983825544287	-25.8231684230918	Erythroid
bcEAKD:WT_3	-1.36382115735596	-3.87010847186057	-30.709306509195	Erythroid
bcAPMP:WT_3	-0.135819936632399	-7.56429234261893	-26.7268571841276	Erythroid
bcHFOV:WT_3	-1.60500555046047	-3.37008297126253	-31.3801475706262	Erythroid
bcGXWS:WT_3	3.10889401434185	-25.0995776452196	9.33315654680707	Neutrophil
bcAOSK:WT_3	4.13686243514072	-22.0874846914007	9.23749028753842	Neutrophil
bcGRTG:WT_3	0.102112130108932	-9.70158445147174	-26.1225211604138	NK/T cell
bcHUTR:WT_3	-1.05437056991199	-3.94311091715415	-30.0875916319001	Erythroid
bcBESN:WT_3	-0.973360748454862	-3.6309348790786	-30.0595020982012	Erythroid
bcCAOW:WT_3	0.159118867017437	-9.64421862958758	-26.5748291569006	Erythroid
bcEXMB:WT_3	-0.251986931308059	-8.45963814624291	-26.6816119042001	Erythroid
bcDNBG:WT_3	0.564745556543462	-10.1927359507414	-26.2137243428081	Neutrophil
bcCGIO:WT_3	0.24994458111946	-9.32254827733233	-26.8484445390201	Erythroid
bcEFFZ:WT_3	4.14060890013866	-22.4197102712682	9.16214747292661	Neutrophil
