Barcode	tSNE1	tSNE2	tSNE3	celltype
bcEIQT:WT_3	31.5196667982039	-7.08879492627824	1.4232457801493	Erythroid
bcGWVS:WT_3	31.6423389877232	-6.45295764026658	1.62457602467874	Erythroid
bcDWGW:WT_3	29.9809928977332	-7.03455190194591	0.525273330937788	Erythroid
bcDWYE:WT_3	-6.81633085351915	14.109963739377	-12.5883464331218	Neutrophil
bcDHYK:WT_3	28.9961214083519	-7.42351389827074	2.20521763871519	Erythroid
bcHNUJ:WT_3	29.1777568165932	-7.47996318423163	1.60148255766765	NK/T cell
bcBHWX:WT_3	12.731898924894	-15.1473209318321	9.7213902428767	NK/T cell
bcCARV:WT_3	29.9319444548688	-6.82160645454858	0.633511609900113	Erythroid
bcEAKD:WT_3	32.5780251369942	-2.59278975131741	6.41446246396643	Erythroid
bcAPMP:WT_3	30.4428250238086	-5.80148884214112	1.92949270819829	Erythroid
bcHFOV:WT_3	32.9485871665422	-2.04318340945074	7.12644725775094	Erythroid
bcGXWS:WT_3	-4.53331677917566	16.1980898797959	-15.763650106913	Neutrophil
bcAOSK:WT_3	-6.15172267460686	14.8014078482584	-12.9828284977219	Neutrophil
bcGRTG:WT_3	30.4158382812633	-7.53111404445955	0.301637026716364	NK/T cell
bcHUTR:WT_3	31.9818780752996	-2.90697727270127	6.05435556979951	Erythroid
bcBESN:WT_3	31.7720021846476	-2.76482807304218	6.29252720355147	Erythroid
bcCAOW:WT_3	30.796799866752	-7.57385008958716	0.62322398993907	Erythroid
bcEXMB:WT_3	30.3949203521552	-6.65370251307261	1.50897649082238	Erythroid
bcDNBG:WT_3	30.754685881475	-7.99132187339855	-0.0619298695585863	Neutrophil
bcCGIO:WT_3	31.0202215769629	-7.32663661827939	0.916733453690176	Erythroid
bcEFFZ:WT_3	-5.96494834696383	15.043418447512	-13.1370527666233	Neutrophil
bcAFKP:WT_3	13.4518780021227	-16.4203394578911	9.55502157716986	Macrophage
bcENNI:WT_3	31.5148488421498	-3.04309760156239	5.77838678028591	Erythroid
bcDVJI:WT_3	32.1894702334696	-2.71647677632743	6.22493552254613	Erythroid
bcEYRH:WT_3	-7.34198409498082	-28.6624193836408	-2.2107466973464	Macrophage
bcFMDK:WT_3	30.3176507843469	-7.43154729203632	0.601499884067123	Erythroid
bcGVNG:WT_3	32.3966287798404	-2.43184400136961	6.98363195565495	Erythroid
bcCXNO:WT_3	32.5253262194198	-2.49454013429995	6.6992910666997	Erythroid
bcCIMM:WT_3	-6.24079721308444	14.7025792741183	-12.891985033006	NK/T cell
bcEGPQ:WT_3	30.1702118174606	-6.9522418028831	1.10499389667426	Erythroid
bcCUPJ:WT_3	-16.0581640257896	16.7555415427605	-9.88011482849054	Neutrophil
bcHWZB:WT_3	-3.63458568009074	16.8733896387349	-14.8495797283258	Neutrophil
bcCKHP:WT_3	30.9036371260876	-6.39127011362536	1.79785016912402	Erythroid
bcHWVF:WT_3	-15.8356675645688	17.0442479216913	-9.8223247784995	Neutrophil
bcBLXY:WT_3	30.8628373207098	-4.51647614945678	4.02855978809372	Erythroid
bcBDLY:WT_3	29.8908456114189	-7.11552793652405	0.632653295991318	Erythroid
bcGEQY:WT_3	15.8978727752968	-19.1129295512898	7.06964634084961	NK/T cell
bcCGXF:WT_3	30.3109226943452	-7.12677274628139	0.854662005061876	Erythroid
bcDCSA:WT_3	13.5905202425704	-16.0782848535906	8.60025218616068	Macrophage
bcEMDF:WT_3	30.7798892824167	-4.26428548252085	4.26541808391716	Erythroid
bcCURG:WT_3	-4.63134503767265	16.1199269826657	-15.377257975192	Neutrophil
bcGFTT:WT_3	17.5194829309596	-7.42428593264991	-3.55302947727915	NK/T cell
bcDMTY:WT_3	13.0985217833081	-15.7223100651673	9.5788326199783	Macrophage
bcAIKC:WT_3	30.6046602369862	-7.61367614771869	0.248788552033242	NK/T cell
bcAQGD:WT_3	13.5331337978793	-16.430083797131	9.22818689521639	Macrophage
bcEVLR:WT_3	34.3360091211809	1.80923817400184	9.70238913113097	Erythroid
bcDJEY:WT_3	30.5866294544802	-5.2005973006725	2.66000817317068	Erythroid
bcEMGJ:WT_3	3.22881744837687	-2.89497087114236	-1.31904699206005	Neutrophil
bcCLUD:WT_3	13.3754544754362	-16.3540857585491	9.75520954297525	Macrophage
bcCWLS:WT_3	30.3684797109208	-5.53102742701075	2.11166654245575	Erythroid
bcDWJX:WT_3	29.1803654596006	-1.88329898230977	8.00355383603409	Erythroid
bcAGWL:WT_3	29.2833780180214	-6.46484664017017	-0.145989645493997	NK/T cell
bcHUOF:WT_3	34.559720287696	0.957922872613935	8.66234018378011	Erythroid
bcEXQX:WT_3	13.7345239093226	-15.979894943756	7.93934887297314	NK/T cell
bcIBIU:WT_3	14.7464560518256	-19.5530056387434	11.6283250735249	Macrophage
bcABQS:WT_3	29.963007136901	-1.62988026137993	8.1009291941071	Erythroid
bcCWKR:WT_3	32.6027304652032	-1.65737769870539	6.38328284382786	Erythroid
bcDNDM:WT_3	31.0633879781743	-3.04292890588072	6.14036974108839	Erythroid
bcBMEA:WT_3	30.9389172207686	-6.27207539021978	1.96762636434717	Erythroid
bcDXJI:WT_3	34.5005563554431	1.81360260211627	9.53621981266174	Erythroid
bcANPM:WT_3	30.4938386848063	-4.70625252136291	3.30286790044002	Erythroid
bcCKQA:WT_3	29.0193203636371	-6.28027043572971	-0.516428620519196	NK/T cell
bcGMHZ:WT_3	15.0551385820766	-20.244955709741	11.3486507964619	Macrophage
bcDTSO:WT_3	30.8816975834287	-6.09078867386296	2.24314966507828	Erythroid
bcATNS:WT_3	16.7501332826943	-7.1436551614508	-3.94332157233231	NK/T cell
bcAUTT:WT_3	-4.56338242321736	16.349839754825	-15.2756317257624	Neutrophil
bcGWKN:WT_3	17.0971252096233	-7.95610378826361	-4.42360116313736	NK/T cell
bcDTYZ:WT_3	-5.43333073827546	15.5644624279673	-13.5500551151118	Neutrophil
bcHETR:WT_3	29.6084610110046	-1.81874977995062	7.95492997582897	Erythroid
bcHNPB:WT_3	17.4062073794735	-7.10221497705523	-4.08837088333012	NK/T cell
bcDMAZ:WT_3	30.9828737494717	-2.82419059175431	6.12536921410465	Erythroid
bcDDRM:WT_3	13.7736912598385	-15.8571992178732	7.6724461250897	Macrophage
bcAJUM:WT_3	33.2594512608379	-1.15463872431301	7.72287483140852	Erythroid
bcHCMI:WT_3	-15.7956626827736	17.0078926238234	-9.970687832312	Neutrophil
bcBMGT:WT_3	34.1572141491738	1.62373268036147	9.3782174117052	Erythroid
bcBBPX:WT_3	14.2200151867276	-19.3980699670043	10.8215642059047	Macrophage
bcCVMM:WT_3	33.5500991535534	-0.294389241550152	9.55405143730069	Erythroid
bcDWBG:WT_3	30.9464182108001	-3.88890803973034	4.86429296933796	Erythroid
bcIBMN:WT_3	32.9195035192864	-2.43377197114999	6.97618874648616	Erythroid
bcFMIU:WT_3	-15.808479085596	17.0757796246307	-9.81299611736762	Neutrophil
bcBOTZ:WT_3	30.0502811630653	-6.75243572300461	0.725039798327597	Erythroid
bcANWY:WT_3	34.6849480756207	1.52874452715804	9.61207606366605	Erythroid
bcAKGJ:WT_3	-5.61813360368452	15.3605589699212	-13.4926454723141	Neutrophil
bcHLRY:WT_3	-6.21989329770579	14.7484256577389	-12.9235205015244	Neutrophil
bcDHYS:WT_3	15.1397063805485	-19.894007717749	11.3016246378172	Macrophage
bcDBCF:WT_3	-4.30478873835163	16.9341655302687	-15.1426073222391	Neutrophil
bcGZWC:WT_3	-4.92050070972734	15.992264605684	-13.8448291292902	Neutrophil
bcFQJE:WT_3	27.4719620628332	4.7848838490483	-2.64748247325169	Erythroid
bcEFQH:WT_3	14.685668439672	-19.2474064344567	11.761853225766	Macrophage
bcBOAC:WT_3	31.6874207891463	-3.21101476292258	5.5481052475059	Erythroid
bcDWGX:WT_3	14.5373311614796	-19.6713222834061	10.3878190154275	Macrophage
bcBGEV:WT_3	3.94353052573918	-4.02731509911012	-0.491326004614907	NK/T cell
bcCEFG:WT_3	14.0594111662909	-16.072196352188	6.6584938202689	NK/T cell
bcDPBD:WT_3	30.8647142646977	-4.85548319301737	4.19845720372048	Erythroid
bcDPHU:WT_3	30.24192367337	-1.51542829081204	8.34023498491989	Erythroid
bcBSKV:WT_3	13.6878202345462	-16.2229142432398	8.44658968324402	Macrophage
bcHXSD:WT_3	32.9601851511225	-0.685337318138102	9.69865685947095	Erythroid
bcCHSI:WT_3	31.9529632034345	-1.87968887168718	7.39083044012403	Erythroid
bcGJBC:WT_3	16.6974776951872	-7.35850623178775	-4.86608413532546	NK/T cell
bcAPXQ:WT_3	14.9239258312146	-20.5636478360195	10.7068914857817	Macrophage
bcCQST:WT_3	29.9300829932221	-5.93755902696757	0.930542453841578	Erythroid
bcCTXH:WT_3	30.7367958293334	-3.44053838518544	6.00225214317007	Erythroid
bcAXDX:WT_3	14.1162007009088	-18.5905291968213	10.8391450708307	Macrophage
bcCWTA:WT_3	-3.03258400882114	16.9744087714497	-14.9908851611899	Neutrophil
bcEAMM:WT_3	30.2108968192709	-6.10766449807942	1.60981728564399	Erythroid
bcIHBQ:WT_3	16.5647664149132	-7.18340355638053	-4.88665839190502	NK/T cell
bcCPHE:WT_3	30.7130175645041	-2.29204168055899	6.82672049906043	Erythroid
bcGWTU:WT_3	34.6075993057772	1.59840212007109	9.36739686294465	Erythroid
bcBNUJ:WT_3	16.3427833510163	-20.3091919246584	10.5078975124052	Macrophage
bcCYGU:WT_3	29.5012350914182	-2.56121413645308	6.96174611137657	Erythroid
bcBGAZ:WT_3	30.767795352702	-4.8500367700549	3.58864532206434	Erythroid
bcCAKM:WT_3	34.2398803410146	1.08107254104292	8.9707784248001	Erythroid
bcBWCE:WT_3	29.2651342399908	-1.86006144382827	7.91435450168002	Erythroid
bcCUWT:WT_3	16.0019578690038	-7.53826139291975	-6.1166842074233	NK/T cell
bcGSIU:WT_3	32.6326221680701	-0.874393575238642	8.78667533389286	Erythroid
bcBBQS:WT_3	-3.29230656463159	15.288216091694	-11.6894788313164	Erythroid
bcEBMK:WT_3	30.2118284164092	-6.42646448723415	1.61636885051846	Erythroid
bcEMFF:WT_3	-15.3534355819583	17.1949489592963	-10.3645228716576	Neutrophil
bcAOBD:WT_3	32.4655064837469	-1.67947282952921	7.17402902472679	Erythroid
bcHWST:WT_3	34.5842480983094	1.79130571224136	8.99424302483388	Erythroid
bcDVVC:WT_3	32.7821853960694	-0.64522573816339	9.75491690755675	Erythroid
bcHBCG:WT_3	15.8743741717454	-19.2005484365868	7.27130988130479	Macrophage
bcAXGI:WT_3	22.0778827012558	3.66718745415799	16.7871757362227	Erythroid
bcHDMM:WT_3	28.7946731131665	-2.69666030922298	7.89165825811619	Erythroid
bcFLKQ:WT_3	30.4686659787305	-4.20834746714539	4.65293670343467	Erythroid
bcDPVW:WT_3	13.0402589589517	-15.6250632653921	9.60589955091975	Macrophage
bcANDI:WT_3	-5.48955939582823	15.5043888930577	-13.576356100257	Neutrophil
bcBCJY:WT_3	30.7515577746122	-2.33545207736305	6.89900340012912	Erythroid
bcARZM:WT_3	14.5311699220814	-20.4179747532648	10.3826390939957	Macrophage
bcDQAR:WT_3	17.3441024352325	-7.88008978317909	-4.16677712298719	NK/T cell
bcBVNO:WT_3	17.1970367570064	-7.31565101316611	-4.47051645883828	NK/T cell
bcAEJY:WT_3	32.9563559339424	-0.371352069311547	9.5878918377101	Erythroid
bcAMTJ:WT_3	13.8078343756057	-21.5270600942129	9.5017065740288	Macrophage
bcFRTQ:WT_3	32.9315252129568	-0.989143539897508	9.62555054415697	Erythroid
bcGWWC:WT_3	29.7665187482677	-0.909950018355833	8.20745012188462	Erythroid
bcCWJW:WT_3	-0.910479549777153	19.3006160591812	-16.1141510650617	Neutrophil
