Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
ATP6V1E1	E2F4									PTPMT1		TXNDC17	ABCB10	DR1		BMP2K	IRAK3	USP48	CPSF2	RYK	NRGN	CDKN2C	ETS2	TMEM104		RHOQ				SWAP70	
EIF4A3	VAMP5									CLPP		TOB1	YIPF4	TMEM106A		SLC27A1	P2RX7	CMC1	SMARCB1	UFL1	TMEM250	COMMD1	NDEL1	ZSWIM6		PPM1E				GGA2	
NDUFA11	NECAP2									NUDCD2		CAPZA1	RBM38	PLIN2		TCF7L2	INPP5B	SPATA13	SMARCD2	ENTPD1	CDK4	LARP4B	PPP1R15B	NR4A1		TRAPPC5				SMARCA4	
ANAPC13	TXNL1									NDUFAF4		PPP1R18	TMOD1	ATP6V0B		ARHGEF6	HEATR5A	MFNG	KIAA0040	PIM2	PEBP1	LONRF3	ATP6V1G1	MYD88		STOML1				ELOF1	
NDUFS8	NDUFA5									C11orf74		ARFGEF1	SOWAHA	APP		SCAP	RALBP1	SH3KBP1	HIST1H1A	CCSER2	STMN1	STARD8	CMIP	LEPROT		GNE				POLM	
NAA38	POLE3									EGFL7		RAB27A	RANBP10	C8orf44-SGK3		PML	PPCDC	IL4R	SMC3	SP140	IMPDH2	SPAG5	RHOB	IPMK		TACC1				SMIM14	
PSMB2	FXN									WDR18		GADD45G	ADD2	PLXNB2		MAN1A2	CETN2	SUGT1	NMRAL1	CALU	PAICS	TRAPPC10	PNPLA7	EXT1		SCAP				MYO1C	
RNH1	PHF5A									TRAP1		GDPD3	FN3K	TNFRSF1A		DCLRE1C	IL15	NSD3	HES1	PRRC1	ETV6	E2F7	SNAP23	SLC35E4		RAB6B				BLVRB	
CUTA	PABPC4									FRAT2		MFSD14B	CHAC2	LPL		ATF6B	HSPBP1	PIK3CD	GPAT3	ZCCHC18	NINJ1	YAF2	TMEM120A	TMEM14C		PIP5K1C				TRIM7	
IFT20	HAT1									UMPS		FCGR3B	BSDC1	LIPA		ZDHHC13	TGOLN2	SASH3	DAZAP1	CDPF1	MCM6	ENTPD5	COX17	CDC42EP4		TRIM36				CD24	
BUB3	RAD23A									C1orf131		BBIP1	BCL2L1	VWA5A		SPTY2D1	ARAP3	ARHGAP15	EIF4A3	SLX1A	MIF	KIF2C	SLC6A6	TFEC		SH3PXD2A				FAM43A	
	BCAS2									IPO5		ATP2C1	XPO7	C19orf53		SEMA4B	SPTLC2	NEURL3	BUB3	YIPF6	EEF2K	GPD2	NDST1	CHMP2A		WDR81				MYLIP	
	C20orf27									SUCLG2		SLC25A24	IFT140	RHOA		COMMD6	PELO	DUSP11	SNRNP70	RER1	RUVBL1	RFWD3	MBOAT7	PPP1R21		STK38L				NDUFS5	
	SOD1									KNOP1		SRPK2	SOX6	CAPNS1		PIGP	PLK3	NFATC1	U2AF2	ARFGAP3	MFNG	TEX15	ASXL1	EIF4E3		TRIM24				POLD4	
	CCDC34									MRPS5		APOBR	SLC25A39	SNX1		DTX2	FERMT3		THRAP3	ZBTB20	HSPBP1	MTF1	DENND3	GLMP		MAP4K4				PXK	
	DTYMK									COPS7A		SELENOO	ABCG2	RRAS		TMEM86A	AFF4		POLD4	IQCB1	TTC3	ASPM	MSMO1	ACOT9		KIAA0319L				STRBP	
	EEF1D									CCT6A		HCFC1R1	ICAM4	SLC11A1		MAN1C1	DEF6		GSTT2	TARS	ADI1	TNF	EGR1	SGPL1		KDM1B				ATG16L2	
	SNRPE									NCBP2		ALDH3B1	TMEM14C	ZNF467		TBXA2R	FDX1		SMARCE1	OST4	PHPT1	RTKN2	ATP11B	FAM120A		ATP8B2				GPD1L	
	PDAP1									PDHA1		EHD1	GHITM	POLB		NCEH1	NQO2		NSD2	FBXW7	RSL1D1	TMEM248	SOS2	TIAM2		RNF13				TP53I11	
	GADD45GIP1									PPID		ARL2BP	ANK1	PRKX		MAP7D1	DECR1		EXOSC3	SRP19	LYL1	CENPJ	ATG2A	ABHD12		SLC38A1				FBXL12	
	CCNB1									MRPL44		CHP1	DCAF12	SOWAHC		PPM1H	SSBP2		DESI1	ZBTB38	PRDX2	IQGAP3	TBC1D23	ATP7A		MTMR1				DDX54	
	COX5B									PRKCSH		NOD1	TAL1	TM6SF1		TSPAN31	TREML2		CNOT2	NEK7	CMTM7	SPECC1	YKT6	ACAA1		GNAQ				TMEM131L	
	PFDN1									LAGE3		PSTPIP1	PPOX	SCARB1		IFNAR1	KDSR		HNRNPR	BTD	HSPA9	TMC8	PACS1	TRAPPC1		RMND5A				RUBCN	
	DNAJC19									MRPL19		MAP1LC3A	SPECC1	SPG21		ABCC1	SPP1		FRG1	NBAS	TSPAN32	NETO2	RNF44	ATG4C		PARP3				LMNB1	
	CDT1									IDH3A		CDK11B	ZFAND6	ARHGAP26		DHCR7	DLD		DNAJC21	YIPF2	FKBP3	SLC22A4	ZFAND3	RELT		DHCR24				RRM2B	
	PSMC2									KARS		CXCR4	PIGQ	NDRG1		STAT2	RBL2		RALY	ENDOU	CCT3	NCK1	ELP1	PON2		PDE4DIP				NFKBIA	
	CDCA3									NIFK		CCDC125	GYPC	TRAFD1		PCYT2	UQCC3		SDHAF2	TM9SF2	MSI2	HIST1H2BK	MAP1LC3A	IDS		TUBB2B				HIVEP2	
	MCM3									TMA16		UGP2	PABPC4	HMOX1		C11orf71	TES		PHLDB3	CLPB	ZNF22	FMNL3	MBD2	APBB1IP		N4BP3				POLG2	
	CYB5R3									ABHD11		SORL1	DNAJA4	LAMTOR1		MYO5A	MAPK14		HNRNPDL	STT3A	NCL	HASPIN	ARF3	APH1A		SLC9A1				TMEM123	
	RPA2									DENR		TWF2	SMAP1	LRPAP1		VPS37A	PTTG1IP		KTN1	FAAH	HSP90AA1	MAGI3	RNF11	DIAPH1		SLC25A53				XRCC6	
	UQCR10									MRTO4		ATP6V1E1	FZR1	BLVRA		DCTN6	PDE6D		RBM39	SFN	DKC1	SNTB2	RAB5B	NKIRAS2		NFKB1				ARNTL	
	NDUFA12									GTF3A		CCDC88B	TRAK2	FAIM		UGGT1	TMEM238		CERK	ALDH18A1	GCSH	SHC1	CFLAR	FAS		ACBD5				HSPA2	
	GRINA									RFC5		CIB2	SLC48A1	RBMS1		MSMO1			TEX30	ABHD6	SERPINF1	BAZ1B	HDAC4	GBP4		DGKE				H3F3B	
	RPL37									TOMM70		PNPLA8	FHDC1	MILR1		GNPTAB			NSMCE4A	SAR1A	SLC25A1	MXD3	MAP2K4	MVP		MAP4K5				PTPN6	
	SMAP1									MYDGF		SSU72	PTDSS2	SNRPB2		ECI2			RNF7	GMDS	OTOS	CCDC82	UBE2Q1	SIAH2		FAM168B				B3GNT5	
	TSN									YIF1B		RLF	FAM117A	ASAP1		PDCD2L			MTF2	CSNK1G3	GNL3	TTK	STK40	TMEM50A		RTL6				KLHL6	
	MRPL28									GMPS		PLXNC1	TXNRD2	SLC43A2		NXF1			CENPS	CACNA1E	DNAJC6	BRIP1	HCFC1R1	SEPHS2		TRIT1				B3GNT8	
	LEPROT									ACAA2		PGK1	SLC25A21	FBXW4		JADE1			RFC3	ZNRF3	HMGA2	PRR11	WAS	DDHD1		LYNX1				ZNF318	
	EIF3D									DDB1		HCLS1	EIF2AK1	IL17RA		UBL7			ACIN1	SAR1B	ANKS1A	PLD1	GID8	STAT6		OGT				PTEN	
	NDUFB10									KPNB1		PBXIP1	NADK2	FAM49A		GAPT			FUBP1	RAB2A	NBDY	RFFL	BRAF	GLA		HMGCS1				KLHL24	
	NDUFA10									SUCLG1			ISG15	SOD1		HIVEP1			SAPCD2	GPR155	CPQ	PPP2CB	ARFIP1	FOXN2		L3MBTL3				POLR2K	
	LSM4									AP1S1			PRDX3	FES		GPR146			NDUFS8	HTATIP2	PPIF	NANOS1	FAM117B	PLEKHG3		RAB3IP				FAU	
	SNRPG									AARSD1			UBE2B	VPS13C		HMG20B			LARP7	MIA3	DCTD	NRDC	MGP	DHX38		ACVR2A				FUS	
	NDUFV1									ETFA			CAT	COX6B1		STAT1			CD22	HOOK1	HSD3B7	BIN3	KIAA1109	RAB1A		FYCO1				MIF4GD	
	ARF5									NAA10			STOM	SLC2A6		ZCCHC7			PSMC4	ARAF	RANGRF	ATP6AP2	ITPRIP	DRAM2		MYO18A				PQBP1	
	GTF2A2									IMPA2			CUL4A	OAS1		FAM98C			GTF2A2	ERGIC2	NRXN1	FNIP1	RANBP9	SESTD1		SLC35E2B				CDC42EP3	
	UQCRQ									POLR2F			UROS	GPX4		INAFM2			NIPBL	GALNT2	HSPD1	NTNG2	STIM2	RPS6KA4		DDX17				UBL5	
	ERH									ACAT1			SLC16A10	APBB1IP		PDPK1			KIF22	INSL6	PCK2	BTNL9	STAT5B	TPGS1		CHST15				DCK	
	EIF2S2									DRG1			SPIRE1	FAM234A		SIN3B			SNRNP40	SQSTM1	NUTF2	MAPRE1	SIDT2	FAM102B		ZNF691				CDKN1B	
	CHCHD2									VDAC1			LMNA	NDUFA6		MLF2			ANAPC5	ATP13A1	ARHGAP32	HIST1H2BB	PNPLA8	MBP		DDI2				TNFAIP8	
	PRKAG1									MRPS12			NCOA4	LAMTOR5		SDF2			SUPT16H	MRPS18B	KCTD1	MARVELD1	MOB1A	CLCN7		ITPR3				TSC22D3	
	MKRN1									DMAC1			DAPK2	TOR1A		KDM4A			GPD1L	CBX4	BASP1	KNTC1	TNRC18	DENND1A		PHF2				SNAP29	
	MRPL14									PSMG2			CLCN3	MRPL30		QDPR			PABPN1	ALG2	NOC2L	VKORC1L1	FIS1	MVD		MINK1				EZR	
	SNX3									STOML2			EPOR	RAB32		COX14			TTPAL	ADGRL2	SKP1	SASS6	PRKD3	RAB29		WRN				HIST3H2A	
	PDCD5									CENPW			FAHD1	RBKS		COA5			MTA2	DHRSX	MYL10	VEGFA	CDC42SE1	IRAK4		KLHL42				CDC25B	
	COX7C									PIGT			SAMD11	ACAA1		DGCR6L			INCENP	RALGDS	DCUN1D1	RAB24	PPP1R12A	COPZ1		AKAP11				LGALS9	
	CISD1									RSL24D1			VOPP1	ARPC4		AS3MT			SRRT	TM2D3	PRMT1	CPEB4	CTDSP2	BID		PMVK				NFKB2	
	ENY2									MRPL21			NARF	SNX20		TOM1			TSN	CCDC134	TPI1	PCYT1A	PIK3CG	VAPB		DENND4B				JAKMIP1	
	CDK1									SORD			ATG4A	FUCA1		HAUS3			XRCC1	HSPA13	RBBP7	CENPU	SHOC2	NIPA2		SFI1				HES6	
	RNASEH2B									COX5A			STRADB	MFSD1		RNPEPL1			SLAMF6	TMEM208	MDFI	NOS1AP	MED13L	YTHDC2		IDI1				ZNF706	
	CFDP1									GNG11			PPP1R15A	C4orf48		DNAJC13			LXN	SCFD2	GCLM	STRADB	NISCH	IRF9		COA5				RBM39	
	NUSAP1									CCDC115			E2F4	S100A13		ADCY7			WDFY4	PRMT7	PFKL	M1AP	ARID3B	NUAK2		PRPF8				CSK	
	NASP									SMIM11B			MTFR1	TNFRSF21		ANKIB1			UBE2A	CD83	ABCA2	PDE8A	INSR	GPX4		TBCEL				PRRC2A	
	BAG1									GTF2F2			FBXO7	CASP1		AKAP9			PPIL1	COPB2	MACROD1	CAB39	PTGER1	RNF103-CHMP3		ZNF398				CYTH1	
	EIF4EBP1									UNG			SAMD14	TLR2		MRPS16			PUF60	SAMM50	VDAC1	AIP	TMEM164	SLC35C1		CXorf21				TOP1	
	PSMD4									GOT2			HSCB	RNF149		DCAF7			SLC30A5	SMCO4	LSM7	GCC2	NCKAP1L	ZDHHC9		IFFO1				PPP1R35	
	LSM7									NDUFA10			AZIN1	RASA3		FAM168B			CHTOP	C1orf74	HINT2	STXBP2	PRKAB1	USP25		CRYBG3				KCTD3	
	COX17									PFDN1			MEMO1	BLOC1S1		CREB3			FBXL12	CSRNP1	IMPDH1	GGNBP2	CPNE1	SUN1		ANKS3				WBP2	
	NOP58									B4GALT6			ABCB4	PRELID1		TCIRG1			AFF3	MVP	SUCLG2	PIP5K1B	MAST3	UBE2L3		RICTOR				FOXN3	
	ROMO1									STK16			ITSN1	PSMB4		NSMCE2			RBM17	MANEA	MYCN	USP39	RNF19B	HTATIP2		CCDC134				ROCK1	
	SLIRP									SSBP1			SLC43A3	UBE2L3		PIP5K1C			ACTL6A	CXCL10	QDPR	SLC16A6	SMAD4	AUP1		NDUFA7				SLC12A6	
	NDUFS7									RPL7L1			GLO1	TPGS1		SMIM10L1			MYO1C	MIF4GD	NKX2-3	ZW10	PSD4	CDC40		ARFGEF2				BIN1	
	UQCRFS1									EBNA1BP2			JOSD2	TOR1AIP1		SLC15A4			DNAJC8	BCKDK	PER3	POLG	PARP4	SH3BP2		ITGB3				HIST2H4B	
	OAZ1									CETN3			CIR1	DNA2		IRAK1			DCUN1D5	MAP2K2	UMPS	SELENOO	RAF1	SPOP		LRBA				PYM1	
	POLR2J									DARS			MYLK3	CD14		ZC3H7A			THOP1	TBL2	GNG11	KBTBD7	XPO6	COX6B1		STX16				IL16	
	COX6C									NDUFB2			BRPF3	GUCA1A		LRRC47			IL12A	ATG13	SPTSSA	GNAI3	PREB	EBP		EP400				TREML2	
	GPS2									MRPL36			TRIM59	HIGD2A		MVD			CLSPN	CCDC117	PPID	ANAPC15	RNF38	ZDHHC7		MRAP				SUPT4H1	
	DKC1									MRPL17			SLC6A9	NIN		ATXN7L3B			SRSF11	COX16	KARS	ARHGAP1	GTPBP2	NDUFA3		GALNT12				RGS2	
	FAM162A									DNAJC19			SLC25A38	IKBKB		TEX261			UBE2N	IL13RA1	FKBP4	ULBP1		TPCN1		POLR3GL				GSK3B	
	DNAJC9									TMCO1			SNX15	LTBR		CNOT8			CCR7	GOLGA4	GAA	LRP4		RIT1		PPP6R3				NOL7	
	EIF3I									HTRA2			PRKAR2B	PLEC		SP3			NUP62	PYCR2	SELENBP1	C14orf119		DHRS1						BIRC3	
	EIF3G									SDHD			MFSD2B	SMIM29		CSDE1			KANSL1L	YARS	CHCHD4	LRR1		RAB14						B3GNT2	
	TMX1									NDUFA5			CCNDBP1	SRD5A3		COMMD7			CTBP1	TMEM39A	NPM3	JPH3		MADD						BRD2	
	SSNA1									MTCH2			FBXO30	GPR65		STX4			FAM43A	TMBIM4	RCN3	HIST2H2BF		TOMM6						MED13	
	BUD31									MRPS15			TBCEL	GBP4		N4BP2L2			ZNF207	UBFD1	CCT6A	GALC		BAG3						BCL2L1	
	PSMD6									NCLN			USP15	MRPL4		GATD1			HSPA2	ATXN1	TRIM28	CALM3		USP45						OTUD1	
	SSB									SKP1			PRNP	FOSL2		KRCC1			SRSF10	ASCC3	RCL1	MTM1		PARP14						PSMB7	
	PMF1-BGLAP									STUB1			DNAJB4	TRAPPC1		MAP3K1			MRPL49	USP16	NFIC	SMN2		BNIP2						MAN1A1	
	CCT2									RDX			CTSF	TMEM38B		NUDT18			HDAC7	COPA	EFCC1	GEN1		BRK1						HIST1H1C	
	PSMD7									PDCD5			SLC30A9	MCTS1		FBXO6			PRPF38B	ENTPD4	PA2G4	DTX4		FLVCR1						CSNK1G3	
	SDHB									GRPEL1			MPST	PPT2		MAT2B			IKZF3	PREB	PDRG1	SLC6A13		NDST2						UBLCP1	
	CCT5									AHSA1			UBE2R2	NAGPA		FAM114A2			SARNP	COQ9	CAVIN1	USP2		ANXA7						CLK1	
	NDUFS6									MED21			MAP4K5	RAP2B		HIF1A			PSMA2	PLBD2	EEF1G	GAPVD1		PLEKHO2						B4GALT1	
	TCP1									DNAJA2			FAM214B	ZNF710		TMEM192			PHIP	SLC38A10	HADH	LONRF1		PIEZO1						EZH2	
	OCIAD1									UQCRB			NCOA7	CFL1		PRDM2			ASF1A	ASNS	PPIC	WSB2		ANAPC13						ARID4A	
	EIF3M									SEC11A			CA1	EIF4E3		UBAP2L			PBRM1	EIF1	PPAN	HIST1H3A		ELF4						ZMAT2	
	FUNDC2									EIF2S2			MINPP1	SPPL2A		EMC8			UBA2		NOP10	C1orf226		RIPK2						PRKCE	
	CCT7									TIMM8B			ART4	ABCD2		SENP6			DDX24		PPIE	MCM3AP		BAK1						CCNI	
	HNRNPC									ROMO1			RNF123	ME2		NOTCH1			SRSF4		LSM3	PDS5A		CTNS						SCAF11	
	PSMB4									MRPS14			MGLL	TM2D2		ARHGAP27			KHDRBS1		SHISA8	ALDH4A1		YPEL2						AKT1	
	COPS5									MRPL51			DIAPH3	C8orf76		TAF13			ICAM2		SMO	DCTN1		HMGCL						NIPBL	
	SRP19									BAG1			NAPA	VAPB		JMJD1C			TMEM131L		CHCHD6	TMEM30A		ANKH						WTAP	
	PAICS									NDUFV2			PSMF1	DNAJB14		SPIN1			PYM1		C12orf73	COX7A2		YTHDF3						KMT2E	
	PGP									SNRPD3			SPPL2B	HPS3		TNFRSF13B			TDP2		TBXAS1	FANCD2		ABCB7						VMA21	
	MRPS24									UQCR10			ASB1	UBL3		SETD7			PSIP1		WEE1	LYPLA1		NDUFS6						NFKBID	
	SNRPA1									MDH2			SLC14A1	DIAPH2		TMEM230			NEK2		RAN	NUP58		OGFR						CPSF2	
	GSTP1									VDAC2			OPTN	RSU1		TAZ			BRIX1		DKKL1	TRABD		TMED7-TICAM2						NUFIP2	
	NDUFAB1												RIOK3	DAZAP2		SMIM15			SUZ12		ADSL	ENPP5		API5						COQ7	
	RNF187												LPCAT3	RAB14		STXBP2			RFC4		COPS7A	SPSB2		HAGH						UBE2A	
	COX20												IBTK	MAP2K1		WASHC4			CYTH1		PRMT3	AGTPBP1		SERINC1						GTF2H5	
	TXN2												ARRB1	APLP2		RBCK1			CCM2		PIK3IP1	HIST1H2AH		GDAP2						AP2M1	
	HSPD1												PTTG1	MAGOHB		RAB24			YEATS4		ANKRD13A	KIF18A		GCNT1						IRF2	
	EIF4H												GLUL	ARL11		INPP4A			CDC20		PPP1R9A	EXOC1		USP8						MIEN1	
	EIF1AX												HERC1	ARHGAP31		CNOT4			ACP6		PPP1R13B	CCNE1		C19orf53						RBM15	
	MRPL20												UBP1	STK38		VPS13A			RTF1		RUVBL2	RECK		GPR108						AFF1	
	THOC7												PHOSPHO1	CISD2		ZNF106			TARDBP		TIE1	SLC4A2		MFSD11						TOMM22	
	MRPL15												GSTM3	TMEM234		ZMYND8			PSMB7		NDUFA4	GTSE1		UBE2F						KRAS	
	CETN3												TMX1	BCKDHA		GAS7			PBDC1		RHBDD2	HIST1H2BD		MBNL2						CCM2	
	TOP2A												YOD1	CEBPG		TIGD2			PHF5A		SHMT2	C2CD5		NCSTN						RELB	
	SRRT												SCOC	TRAPPC2L		CDC42SE1			BAZ1B		VLDLR	MOSPD1		PACSIN2						CDV3	
	HJURP												PKN2	NFIC		NUDT16			HIKESHI		JAK3	CEP295		BLOC1S1						MFAP1	
	DNAJB1												HECTD4	OGFR		DMAC2			DHFR		DTYMK	SNAPC5		CNNM4						UBE2B	
	EIF2S1												UBAP1	ABRACL		ARID3A			NDC80		TP53	FBXO10		FBXO28						FLI1	
	MRPL12												DENND4A	GPR108		AMFR			CBX5		PSMD7	KIF18B		PSMB3						GRB2	
	LSM2												PITHD1	C5orf30		KMT2C			BUB1B		MTAP	FBXO30		N4BP2L1						PLA2G12A	
	PSMB7												PPM1D	SLK		GNAQ			GRK2		RPL15	CRY1		MINDY3						MCMBP	
	PSMD1												GRAP2	CHMP2A		EPS15			CHD1		IPO11	CEP152		VPS33A						ING1	
	PSMD11												CYB5R3	PLCG2		PURB			BUB1		SORD	SMG9		MAP3K3						ARL6IP1	
	SLC25A3												UBE2H	GGA1		ORAI2			CCP110		SNRPD1	HIST2H3A		CHMP5						DESI1	
	CACYBP												USP32	STK10		CHD2			PDS5B		MSH2	C17orf53		GSDMD						STAP1	
	LARP7												TPM1	KDM7A		TMED7-TICAM2			BPTF		WDR77	KLHL36		COX6A1						TCF20	
	CCT4												RNF11	RBM7		ACBD5			PCMTD1		BAHCC1	PER2		RAB5C						IFT22	
	SNRPB												KLHL12	MBNL2		MDP1			GGA2		EXOSC7	CCHCR1		GBA						C11orf98	
	CCT8												STX2	ANKLE2		BBX			MOB4		PSMG1	PIMREG		YIPF1						CHURC1	
	PSMA5												ISCU	LACTB		SYS1			FAM216A		EIF1AY	SERPINB6		NEK9						SNRNP27	
	POLR2L												CLN8	APH1A		B3GNT8			RBMX		C11orf74	H6PD		VPS51						POLR2G	
	MRPL36												DYRK3	EIF4E2		ZNF608			CDCA5		CCT4	ZWILCH		BRPF1						NFKBIE	
	TOMM40												CPEB4	YWHAB		MRPL24			NCAPD2		BCAP29	HSDL2		PIN4						DDX5	
	PSMD14												PI4K2B	USP8		SYF2			MCRS1		LAPTM4B	HNMT		ENTPD7						NFATC3	
	NDUFA9												TXNL1	PARL		ERBIN			RRM2B		ERH	GRAMD1B		ARRDC3						LMBRD1	
	SNRPC												AGPAT4	WSB1		OAZ1			PRPS1		MORF4L2	VPS37C		CHUK						WNK1	
	CCT6A												COMT	COMMD4		NDUFA7			TRIR		ODC1	TANC1		LIPE						RSBN1L	
	HSPE1												KLF3	NDUFA3		NDUFA13			CENPN		ITIH5	SPIDR		AGFG2						TCEA1	
	MRPL34												ADD1	AKAP13		PPT1			TAPT1		ABCG2	ABCB10		NECAP1						WBP11	
	PFDN6												PICALM	LCP2		STAT3			SF1		PHB	PARPBP		AP3M1						PPP2R5C	
	PSMC6												WAPL	XAF1		RNF167			CDC5L		TRIM47	BRCA1		OSBP						CHMP1A	
	EXOSC8												AKAP7	JARID2		LEPROT			OAT		RPS2	BTBD10		ACO1						C16orf54	
	COX4I1												SERTAD2	AP2S1		NCOA3			LIG1		MCM3	DSN1		SLC31A1						EIF4G3	
	RBMXL1												ANKH	NDUFA8		ZMYND11			RCC1		FAM162A	PCSK7		PPP1R12C						U2AF2	
	HIGD1A												DCAF6	SSBP4		MEF2A			PIN1		ANKRD10	HIST1H4I		SGK1						BORCS8	
	CHCHD1												C9orf40	GSDMD		ABI3			SF3A3		HSP90AB1	FANCG		TRIM16						PNRC2	
	CCT3												MZT1	STK24		OGT			FIP1L1		TMEM70	ESPL1		PHYH						LRRC8A	
	MORF4L2												SELENBP1	ZNHIT1		CREBRF			SHCBP1		RCN2	VPS53		MED8						DDX6	
	VDAC3												GID8	SSH2		PTPRJ			LUC7L2		SMARCC1	BCORL1		KAT2B						SRSF5	
	FCF1												C20orf27	DOCK8		NFKBIZ			MYEF2		MESD	XK		MRPS18C						SMARCC2	
	TMEM208												GPSM2	SURF1					BCCIP		NIFK	HCFC2		CEPT1						COX16	
	MRPS18C												DCUN1D1	RNF103-CHMP3					RMI2		CBX6	PFKFB3		CAMTA2						LAMTOR5	
	MAP2K2												KLHDC2	ANAPC13					PQBP1		ATAD3A	CHST11		TM2D1						BTK	
	SAMM50												HARS	SNF8					HIST1H2AE		MYBBP1A	CUL3		MNT						RP9	
	CANX												OTUD5	RTP4					HSPA14		CD81	RAD17		SKI						TMEM179B	
	EIF5B												ADAM10						SF3B4		NLGN2	LIN9		PTTG1						ALKBH5	
	DNAJC8												MAP2K3						CUX1		DEF6	KCTD9		TM9SF1						PURB	
	TIMM17B												YPEL5						CYB5B		RPL22L1	BARD1		DNAJC4						NEDD8	
	TMEM147												GUCD1						NEIL3		TMEM238	ZGRF1		SIRT2						CRLF3	
	GTF2H5												ENDOD1						GABPB1		MOGS	ACAD11		MORC3						TMX3	
	NDUFS3												CDKN1B						FOXN3		PIGP	WDFY2		AIDA						TMOD3	
	AK2												ORMDL3						NCAPH		RFC2	ITFG1		SETDB2						TFEB	
	MTCH2												PHF10						TACC3		SERBP1	STRN		CLPTM1						SASH3	
	NPM1												CENPK						ITPA		MTHFD1	MAST2		FAM168A						MRPL49	
													COX6B2						LUC7L3		LTBP3	MELK		CRCP						INO80D	
													CRAT						ACSS1		CHAF1B	GBA2								C18orf32	
													HACE1						EPB41L2		HOXA10	TGDS								RNF114	
													YPEL3						PTEN		LAP3	TMEM41B								DHX9	
													ANKRD9						ILF3		PYCR3	MASTL								RASGRP2	
													SNRNP25						TFAM		TCEAL8	OSBPL7								HNRNPA3	
													WNK1						SUMO1		POLR2F	SYTL1								COPB2	
													UBLCP1						HAUS4		METTL1	CTBS								KIAA0100	
													MAFK						CPSF6		EXT2	CDK5RAP2								CWC15	
													USP25						MRPS26		NOP16	HIST1H3E								ADRM1	
													RAB18						HNRNPUL1		MRPL12	MBD6								PDCD10	
													GAPVD1						TOMM22		TRAP1	JRKL								ARAF	
													ATG4D						WEE1		NDUFA12	TANGO6								UBE2V2	
													HRAS						PSMC3		STXBP4	ESRRA								CSNK2A1	
													APEH						HNRNPH3		RSL24D1	RNF113A								SBNO1	
													SESN1						ATAD1		FAM92A	CDC25C								PARP1	
													GTF2E2						BTK		MGAT4B	CPTP								TMED5	
													USP7						NEDD9		HDGF	IL1RAP								DCP2	
													UBE2F						CCAR1		GLUL	ENKD1								GIT2	
													HK1						WDR76		POLDIP2	MTBP								CCNL1	
													TPRG1L						BRD8		SLC25A39	SMG8								MEF2D	
													LPIN2						ZNF326		NRIP1	FBXO34								ANAPC2	
													SPSB3						TCERG1		WDR43	SIK2								GRK2	
													CLK3						DHX9		CALR	DONSON								CDK13	
													ZFAND5						CDCA2		MTF2	ANKRD9								TRIR	
													HIST1H2BI						MRPL43		H1FX	COA4								TMEM127	
													VMP1						UBTF		SFXN1	KIFC1								RBM38	
													SWT1						PDE4B		CCT5	ERCC6L								ADAM10	
													RAB43						OSBPL9		NOP56	NXT2								SRP14	
													CENPQ						PGM2L1		TCP1	RNF19A								PAGR1	
													DEDD2						IDH3B		ZNRF1	PTPN9								RSBN1	
													RB1						PLK1		PITRM1	FANCM								CSRP2	
													FAM76A						THOC2		UCK2	TROAP								EXOC3	
													FBXW2						C16orf87		RPL3	EME1								CSNK1G2	
													HBP1						ARL5A		TMEM201	ANKLE1								HNRNPH2	
													DNAJB6						TRA2A		ALDH7A1	RNF121								SNX17	
													KIF2A						MRPS18A		ISOC1	GPSM2								DUSP11	
																			MAPK1		NOB1	FANCI								TMF1	
																			GCLC		DDX39B	PAQR4								HECTD1	
																			ACO2		PUM3	AUNIP								RAB4B	
																			UPF3B		PROCR	KIF24								IBTK	
																			SMARCD1		AKR1E2	C4orf46								CASP8AP2	
																			FMR1		NDUFAB1	DAAM1								HNRNPUL1	
																			NXT1		IFRD2	CHTF18								TMEM128	
																			SNRPC		TOMM20	ZNF384								GEMIN7	
																			WTAP		RIPK3	MAN2B2								PHIP	
																			RAD51		CBX5	SAMD1								MED11	
																			HDAC1		PFAS	CGRRF1								ATP6V1H	
																			THOC6		DTD1	HIST1H2BG								NRAS	
																			MRPS9		PSIP1	RAPGEF2								PPP2R1A	
																			RAD21		PATZ1	ZFAND4								MYEF2	
																			NCAPH2		MN1	SSX2IP								NME7	
																			RCSD1		RRP15	GINS3								WBP4	
																			U2SURP		GAR1	TRAPPC11								ZFX	
																			ADH5		PFKM	HIST2H4A								AP1M1	
																			DGKD		GYPC	POLQ								COPB1	
																			DDX6		TAP2	SKP2								TIPRL	
																			TMEM263		HMGN5	POLH								PIGS	
																			IL16		DTNBP1	ERC1								ADD1	
																			PSAT1		UBE2E3	TNFSF14								HBP1	
