Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
P4HB	GLRX5	SMPDL3A	CCR3	IVNS1ABP	MPC2	RPL23A	PFN1	LGALS9	MANF	PLPPR3	GALNS	CEACAM4	GLRX5	IDH1	B4GALT4	PAQR5	CSF1	TCF7	ID3	OOSP1	F2RL3	VCAM1	IL1RN	FCGR1A	CCDC102A	TCF4	HGF	SLC12A7	BHLHE40	FCRLA	CACNA1S
DBI	SMIM1	TGFBI	GLUL	SNX5	MYL12A	CCR7	TBC1D10C	ARPC5L	PRDX4	MYC	GYS1	DGAT1	TFDP2	SAMHD1	ZMIZ1	CD164	POLN	GIMAP7	CPLX2	TXNDC11	AFAP1L1	CLDN1	IL36G	ATF3	AMZ1	SMIM5	SLC41A3	ITPKB	PPM1J	CHCHD10	UBE2J1
GPI	HEMGN	FN1	SIRPA	FIS1	NFE2	RPS24	YWHAB	HNRNPA2B1	HERPUD1	SYCE2	CDC25A	PADI4	RAD23A	F10	L1CAM	SH3BGR	FAM174B	JAK1	BACH2	UBE2J1	TFR2	HMGB2	TREM1	VCAN	FAM149A	PTPRF	C3AR1	RRAD	RASL12	TNFRSF13C	MT2A
TKT	ERMAP	SAMHD1	PRNP	TAGLN2	SPN	DAPL1	TONSL	SON	TMEM176B	GPATCH4	VCAM1	MYL6	UROD	STXBP6	ECE1	NEK6	RAPSN	SAMD3	CECR2	ST6GAL1	ADGRG1	KIF11	CSF3R	LAMP1	ARHGAP22	PDZD4	P2RY1	FAM78A	KCNIP3	HLA-DMB	OOSP1
TSPO	SLC38A5	FOS	MAF	CELF2	CYP4F3	RPS15A	VASP	ARL6IP1	DNAJC3	TIMM8A	PGP	LASP1	HAGH	RAC1	OLFM1	FGFR1OP2	GRM6	ZAP70	XRCC6	SRPRA	EGFL7	CPA6	CD300LD	TREM2	KCTD14	OR2M3	AQP9	EPHX1	CRTAM	IRF4	SELENOM
H2AFY	TSPO2	ZFP36	LGMN	SLPI	UBB	RPL27A	DAD1	GDI2	SPCS2	WDR43	MSANTD3	SLFN12L	DHRS11	CSTB	RBPJ	TMEM221	GPR34	BCL11B	LGALS9	ERLEC1	HOXA9	OPTN	SCRG1	C1GALT1C1	PMAIP1	SH3BGR	SLC6A4	RABAC1	QRFP	SIGLEC10	PRLR
PDIA6	UROD	CTSA	LPL	UBC	ARRB2	RPL34		RBM39	SEC61A1	WDR12	PXYLP1	GMFG	TSPO2	CAMKK2	PAK1	CD200	NPL	KBTBD11	RSPH9	PLPP5	RBP1	SCNN1A	SLC7A11	PLCB1	LRRC3	ATP2A1	FAM174B	ARMC7	SYTL2	PAX5	KDELR3
SELENOH	CPOX	DUSP1	IL18			RPL17-C18orf32				DKC1	YAF2	GLIPR2	GPX1	CAPN2	P2RY6	CD4	RUNX1	LIME1	ARNTL	UBA5	OSBPL1A	MSANTD3	SLC27A4	LPL	SNX21	ZC3H12C	MBOAT1	NSD3	LPIN1	BACH2	ELL2
RPS11	SPHK1	GM2A	ACP2			CD8A				ABHD14A	SLC39A11	TMCC1	BNIP3L	ATP2B1	SLAMF8	PLEKHM3	SLC7A8	SH2D2A	CAMK2D	IFT20	KIT	ANLN	CLEC4E	TLR8	WDR86	TMEM229B	COQ8B	C3orf38	BAIAP3	CD38	GPR55
YBX1	SLC4A1	NPC2	LGALS3BP			RPS10				EMILIN1	ARHGAP19	THBS1	GCLM	C1GALT1C1	MPP6	SLAMF9	RCN1	GRAMD2B	B3GNT2	TMEM248	PCP4L1	NCAPD3	TRPM2	RARG	EGFL8	CD4	ANGPTL8	FAM9B	SH2D1B	ARL5C	UBA5
COX5A	GSTM3	VIM	SERPINB6			RPS13				BPHL	RNF26	SAMD9L	EPB42	ADGRE1	BHLHE40	PDZD4	SYTL3	CD96	IGLL1	PRDM1	RHOBTB3	PLK1	CLEC4D	TMEM106A	RTN1	MCTP2	POLN	AEBP2	TNIK	RALGPS2	EPCAM
TXN	MT2A	IFI30	SLC48A1			RPL35A				RRP15	NPEPPS	SLC2A3	BPGM	BRI3	MTMR14	CDH5	TEC	EOMES	VPREB1	DERL1	CA2	ASNS	ARG2	LILRB3	UST	LEFTY1	MYO1D	SYT11	CAMK2B	CNP	TPST1
