HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
		ALOX12	MDH2		
		SLC7A11	SPCS2		
		ARHGDIA	GLRX		
		GLIPR1	DARS		
		CNN2	ATP2B4		
		DAP	RGS18		
		SLC20A1	ANXA1		
		HCK	GLUD1		
		TMC6	DNASE1L3		
		UNC13D	PLEKHF1		
		SPAG1	NDRG1		
		TPT1	RAB32		
		RAB5B	OSTM1		
		CCDC88B	PSME2		
		CAPZB	ARRDC2		
		CMTM7	NCF2		
		PIK3CB	PPIB		
		YWHAB	IDH2		
		PLEKHO1	PPARGC1B		
		PDHB	RHBDF1		
		SHC2	LDHB		
		AKAP13	COX7B		
		CD82	LAMTOR5		
		CCDC28A	ABHD12		
		DUSP1	VCP		
		HK1	CCNG2		
		STAT1	NDUFA10		
		EIF4EBP2	EML3		
		GNB1	SEC61A1		
		DOCK8	ATP1B1		
		FMNL1	PSTPIP2		
		TPI1	ACO2		
		SCAMP2	PDCD6IP		
		SLC38A5	VMA21		
		PRELID3B	RAP2B		
		CYB5A	SQSTM1		
		ADAM10	MEF2C		
		GMDS	LAPTM4A		
		EPN2	RAB22A		
		SPTSSA	FLNB		
		CMIP	NAGA		
		RASGRP2	PTEN		
		PARVG	MIDN		
		SELP	COX4I1		
		SEPHS2	ARL6IP1		
		RAB1A	CYCS		
		DEGS1	ABCA1		
		SOWAHD	HSP90B1		
		SEC61G	TRAM1		
		IFNGR1	PSMB2		
		JPT2	RPN1		
		GLOD5	SSR2		
		ARRB2	NDUFB3		
		ALDH9A1	STK10		
		CDC42SE1	RAB5A		
		RCSD1	OSTC		
		CMPK1	TMEM131		
		SH3GL3	COX6C		
		ARF1	AQR		
		LAMTOR4	SSR4		
		TNFRSF1A	HDLBP		
		RPS6KB1	YBX1		
		TOP1	TNMD		
		ASNS	OGDH		
		NDRG3	NCK1		
		DYNLT3	AIMP2		
		FKBP5	NDUFS8		
		CDK2AP2	SMIM15		
		FAM49B	ATL3		
		WASF2	HSPD1		
		SERF2	PFKP		
		ROMO1	UQCRFS1		
		HCLS1	FKBP2		
		FRYL	WSB1		
		TOLLIP	SDHA		
		AZIN1	TMEM258		
		YWHAZ	SERINC1		
		TMX1	CTNNB1		
		UBE2D1	AIMP1		
		ARF6	SELENOK		
		TXNRD3	KARS		
		CRLF3	NDUFC2		
		IL10RA	EDEM1		
		EIF4G2	GINM1		
		TACC1	IST1		
		FARSA	RAB11A		
		BIN2	HSPA9		
		IER2	WDFY1		
